epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.41886,0.63004,0.87037,1,0.42412,0.00021671,0.00021671,0.00021671
2,17.9685,0.39945,0.92593,1,0.29133,0.000405531,0.000405531,0.000405531
3,27.0714,0.28333,0.92593,1,0.21051,0.000548143,0.000548143,0.000548143
4,35.232,0.1709,0.92593,1,0.19349,0.000644546,0.000644546,0.000644546
5,43.4178,0.13837,0.90741,1,0.25736,0.000694739,0.000694739,0.000694739
6,51.4825,0.12836,0.92593,1,0.19946,0.000698723,0.000698723,0.000698723
7,59.4482,0.07722,0.96296,1,0.10481,0.000656498,0.000656498,0.000656498
8,67.0154,0.21566,0.98148,1,0.08667,0.000511769,0.000511769,0.000511769
9,74.7846,0.08667,0.98148,1,0.10043,0.000346736,0.000346736,0.000346736
10,82.9168,0.04813,0.98148,1,0.09266,0.000181703,0.000181703,0.000181703
