epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.2945,0.52969,0.80851,1,0.5302,0.00011,0.00011,0.08911
2,22.8492,0.28899,0.87234,1,0.30776,0.00022241,0.00022241,0.0772224
3,30.7221,0.21402,0.87234,1,0.23373,0.0003269,0.0003269,0.0653269
4,37.2864,0.14571,0.93617,1,0.18411,0.00042347,0.00042347,0.0534235
5,43.6118,0.06595,0.93617,1,0.13294,0.00051212,0.00051212,0.0415121
6,50.0113,0.07845,0.91489,1,0.21536,0.00059285,0.00059285,0.0295929
7,56.3697,0.06367,0.89362,1,0.15164,0.00066566,0.00066566,0.0176657
8,62.707,0.04946,0.95745,1,0.15714,0.00073055,0.00073055,0.00573055
9,69.1329,0.15987,0.91489,1,0.16114,0.000736,0.000736,0.000736
10,75.6677,0.0904,0.93617,1,0.13342,0.000703,0.000703,0.000703
11,82.1778,0.05669,0.93617,1,0.14996,0.00067,0.00067,0.00067
12,88.7618,0.08218,0.93617,1,0.18923,0.000637,0.000637,0.000637
13,95.2683,0.06993,0.89362,1,0.15416,0.000604,0.000604,0.000604
14,101.821,0.12554,0.91489,1,0.21012,0.000571,0.000571,0.000571
15,108.432,0.02859,0.93617,1,0.18287,0.000538,0.000538,0.000538
16,115.139,0.07229,0.93617,1,0.13907,0.000505,0.000505,0.000505
17,121.748,0.06246,0.95745,1,0.1371,0.000472,0.000472,0.000472
18,128.309,0.06979,0.95745,1,0.14759,0.000439,0.000439,0.000439
